instansi;d1_laki-laki;d1_perempuan;d2_laki-laki;d2_perempuan;d3_laki-laki;d3_perempuan;d4_laki-laki;d4_perempuan
Sekretaris Daerah;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Asisten Pemerintahan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Asisten Sumberdaya dan Kesejahteraan Rakyat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Asisten Perekonomian dan Pembangunan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staf Ahli Bupati Bidang Ekonomi, Keuangan dan Pembangunan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staf Ahli Bupati Bidang Politik, Hukum dan Pemerintahan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staf Ahli Bupati Bidang Sumber Daya Manusia dan Kemasyarakatan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Badan Kepegawaian, Pendidikan dan Pelatihan;0.0;0.0;0.0;0.0;4.0;3.0;1.0;3.0
Badan Keuangan dan Aset Daerah;0.0;0.0;0.0;0.0;6.0;10.0;1.0;0.0
Badan Penanggulangan Bencana Daerah;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0
Badan Perencanaan Pembangunan Daerah;1.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0
Bagian Administrasi Kesejahteraan Rakyat;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
Bagian Administrasi Pembangunan;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
Bagian Administrasi Pemerintahan Desa;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
Bagian Administrasi Pemerintahan;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Bagian Administrasi Perekonomian;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
Bagian Hubungan Masyarakat dan Protokol;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
Bagian Hukum;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
Bagian Layanan Pengadaan Barang dan Jasa;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
Bagian Organisasi;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Bagian Umum;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
Dinas Kebudayaan;0.0;0.0;0.0;0.0;3.0;4.0;0.0;1.0
Dinas Kependudukan dan Pencatatan Sipil;0.0;0.0;0.0;0.0;1.0;7.0;1.0;0.0
Dinas Kesehatan;2.0;14.0;0.0;0.0;75.0;465.0;18.0;63.0
Dinas Komunikasi dan Informatika;0.0;0.0;1.0;0.0;2.0;2.0;3.0;0.0
Dinas Koperasi, Usaha Kecil, Menengah dan Perindustrian;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
Dinas Lingkungan Hidup;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
